MODE,NAMEID,NAME,OPERATOR,ONEWAY,RT_DIST,PK_PRD,OK_PRD,PK_HEADWAY,OK_HEADWAY,PK_RT_TIME,OK_RT_TIME,PK_SPEED,OK_SPEED,PK_D_BOARD,PK_W_BOARD,PK_BOARD,PK_ALIGHT,OK_D_BOARD,OK_W_BOARD,OK_BOARD,OK_ALIGHT,DY_D_BOARD,DY_W_BOARD,DY_BOARD,DY_ALIGHT,PK_VEH,OK_VEH,DY_VEH,PK_REVMI,OK_REVMI,DY_REVMI,PK_REVHR,OK_REVHR,DY_REVHR
4,76.0,S525,0,1,5.01,6,10,30,30,18.74,18.36,16.0,16.4,3.11,27.98,31.09,31.09,1.59,31.98,33.57,33.57,4.70,59.96,64.66,64.66,1.0,1.0,1.0,60.12,100.20,160.32,6.0,10.0,16.0
4,77.0,S526,0,0,11.72,6,10,60,0,33.09,33.59,21.3,20.9,2.04,53.65,55.69,55.69,0.00,0.00,0.00,0.00,2.04,53.65,55.69,55.69,1.0,0.0,1.0,70.32,0.00,70.32,6.0,0.0,6.0
4,78.0,S54,0,0,17.74,6,10,15,15,57.35,55.84,18.6,19.1,44.53,436.55,481.08,481.08,20.08,352.51,372.59,372.59,64.61,789.06,853.67,853.67,4.0,4.0,4.0,425.76,709.60,1135.40,24.0,40.0,64.0
4,79.0,S551,0,1,11.61,6,10,40,0,28.37,27.93,24.6,24.9,3.32,38.74,42.06,42.06,0.00,0.00,0.00,0.00,3.32,38.74,42.06,42.06,1.0,0.0,1.0,104.49,0.00,104.49,6.0,0.0,6.0
4,80.0,S6,0,1,13.52,6,10,30,30,54.14,54.62,15.0,14.9,170.27,528.42,698.69,698.69,65.87,430.04,495.91,495.91,236.14,958.46,1194.60,1194.60,2.0,2.0,2.0,162.24,270.40,432.64,12.0,20.0,32.0
4,81.0,S62,0,0,20.26,6,10,30,60,65.10,63.49,18.7,19.1,8.18,150.97,159.15,159.15,3.10,140.09,143.19,143.19,11.28,291.06,302.34,302.34,3.0,2.0,3.0,243.12,202.60,445.72,18.0,20.0,38.0
4,82.0,S72,0,0,10.40,6,10,30,60,39.46,39.28,15.8,15.9,16.93,245.57,262.50,262.50,4.67,217.39,222.06,222.06,21.60,462.96,484.56,484.56,2.0,1.0,2.0,124.80,104.00,228.80,12.0,10.0,22.0
4,83.0,S9,0,0,19.62,6,10,15,15,75.32,75.15,15.6,15.7,24.86,686.34,711.20,711.20,5.32,552.29,557.61,557.61,30.18,1238.63,1268.81,1268.81,6.0,6.0,6.0,470.88,784.80,1255.70,36.0,60.0,96.0
4,84.0,SF453,0,1,34.73,6,10,60,60,44.12,43.25,47.2,48.2,0.94,21.89,22.83,22.83,0.85,49.94,50.79,50.79,1.79,71.83,73.62,73.62,1.0,1.0,1.0,208.38,347.30,555.68,6.0,10.0,16.0
4,85.0,SF504,0,0,17.24,6,10,60,60,51.87,51.93,19.9,19.9,0.70,54.02,54.72,54.72,0.59,54.54,55.13,55.13,1.29,108.56,109.85,109.85,1.0,1.0,1.0,103.44,172.40,275.84,6.0,10.0,16.0
4,86.0,SF514,0,0,13.26,6,10,30,0,51.38,52.42,15.5,15.2,60.20,114.60,174.80,174.80,0.00,0.00,0.00,0.00,60.20,114.60,174.80,174.80,2.0,0.0,2.0,159.12,0.00,159.12,12.0,0.0,12.0
4,87.0,SF518,0,0,21.48,6,10,60,60,64.21,64.25,20.1,20.1,0.72,53.24,53.96,53.96,0.53,51.95,52.48,52.48,1.25,105.19,106.44,106.44,2.0,2.0,2.0,128.88,214.80,343.68,12.0,20.0,32.0
4,88.0,SF522,0,0,5.94,6,10,30,0,20.18,20.01,17.7,17.8,3.86,59.32,63.18,63.18,0.00,0.00,0.00,0.00,3.86,59.32,63.18,63.18,1.0,0.0,1.0,71.28,0.00,71.28,6.0,0.0,6.0
4,89.0,SF534,0,1,13.87,6,10,60,0,44.49,43.57,18.7,19.1,0.01,57.20,57.21,57.21,0.00,0.00,0.00,0.00,0.01,57.20,57.21,57.21,1.0,0.0,1.0,83.22,0.00,83.22,6.0,0.0,6.0
4,90.0,SF546,0,0,21.84,6,10,60,60,72.44,72.11,18.1,18.2,1.57,65.40,66.97,66.97,1.02,83.16,84.18,84.18,2.59,148.56,151.15,151.15,2.0,2.0,2.0,131.04,218.40,349.44,12.0,20.0,32.0
4,91.0,SF547,0,1,13.49,6,10,60,60,42.53,42.10,19.0,19.2,0.96,38.95,39.91,39.90,0.68,36.48,37.16,37.16,1.64,75.43,77.07,77.06,1.0,1.0,1.0,80.94,134.90,215.84,6.0,10.0,16.0
4,92.0,SF556,0,0,10.70,6,10,30,60,32.92,31.09,19.5,20.6,8.08,44.68,52.76,52.76,2.77,53.34,56.11,56.11,10.85,98.02,108.87,108.87,2.0,1.0,2.0,128.40,107.00,235.40,12.0,10.0,22.0
4,93.0,SF570,0,0,16.76,6,10,30,30,55.66,54.89,18.1,18.3,3.07,66.15,69.22,69.22,1.41,79.50,80.91,80.91,4.48,145.65,150.13,150.13,2.0,2.0,2.0,201.12,335.20,536.32,12.0,20.0,32.0
4,94.0,SF578,0,0,13.90,6,10,30,30,48.33,47.34,17.3,17.6,2.92,43.93,46.85,46.85,1.36,59.72,61.08,61.08,4.28,103.65,107.93,107.93,2.0,2.0,2.0,166.80,278.00,444.80,12.0,20.0,32.0
4,95.0,SF590,0,0,11.54,6,10,45,45,40.32,39.99,17.2,17.3,38.75,128.63,167.38,167.38,4.38,94.92,99.30,99.30,43.13,223.55,266.68,266.68,1.0,1.0,1.0,92.32,153.87,246.19,6.0,10.0,16.0
4,96.0,SF94,0,0,7.22,6,10,30,30,23.45,23.38,18.5,18.5,5.59,92.17,97.76,97.76,3.32,89.83,93.15,93.15,8.91,182.00,190.91,190.91,1.0,1.0,1.0,86.64,144.40,231.04,6.0,10.0,16.0
